"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"6859","21287","Fresnes","fresnes","fresnes","21","27","0",,"21500","47.6097085896","4.43871548951"
"6860","21288","Frôlois","frolois","frolois","21","27","0",,"21150","47.5293434145","4.6477491814"
"6861","21289","Fussey","fussey","fussey","21","27","0",,"21700","47.1289690421","4.81617367712"
"6862","21290","Gemeaux","gemeaux","gemeaux","21","27","0",,"21120","47.4772510476","5.14006797437"
"6863","21291","Genay","genay","genay","21","27","0",,"21140","47.5245250886","4.28444386819"
"6864","21292","Genlis","genlis","genlis","21","27","0",,"21110","47.2407395134","5.2209768706"
"6865","21293","Gergueil","gergueil","gergueil","21","27","0",,"21410","47.2376944982","4.81254550284"
"6866","21294","Gerland","gerland","gerland","21","27","0",,"21700","47.1023774932","5.02325039471"
"6867","21295","Gevrey-Chambertin","gevrey-chambertin","gevrey chambertin","21","27","0",,"21220","47.2200822946","4.98301612333"
"6868","21296","Gevrolles","gevrolles","gevrolles","21","27","0",,"21520","47.9895635621","4.7506884064"
"6869","21297","Gilly-lès-Cîteaux","gilly-les-citeaux","gilly les citeaux","21","27","0",,"21640","47.1779786537","4.99751060917"
"6870","21298","Gissey-le-Vieil","gissey-le-vieil","gissey le vieil","21","27","0",,"21350","47.3221932401","4.4861696452"
"6871","21299","Gissey-sous-Flavigny","gissey-sous-flavigny","gissey sous flavigny","21","27","0",,"21150","47.5177863232","4.58559367649"
"6872","21300","Gissey-sur-Ouche","gissey-sur-ouche","gissey sur ouche","21","27","0",,"21410","47.2606866553","4.78299335665"
"6873","21301","Glanon","glanon","glanon","21","27","0",,"21250","47.0397116967","5.10712051482"
"6874","21302","Gomméville","gommeville","gommeville","21","27","0",,"21400","47.9569435042","4.48444403788"
"6875","21303","Les Goulles","les-goulles","les goulles","21","27","0",,"21520","47.8780247601","4.90572088017"
"6876","21304","Grancey-le-Château-Neuvelle","grancey-le-chateau-neuvelle","grancey le chateau neuvelle","21","27","0",,"21580","47.6736710294","5.02411190173"
"6877","21305","Grancey-sur-Ource","grancey-sur-ource","grancey sur ource","21","27","0",,"21570","47.9996727259","4.57740862706"
"6878","21306","Grenant-lès-Sombernon","grenant-les-sombernon","grenant les sombernon","21","27","0",,"21540","47.2689950151","4.71215611881"
"6879","21307","Grésigny-Sainte-Reine","gresigny-sainte-reine","gresigny sainte reine","21","27","0",,"21150","47.5517042908","4.49530823362"
"6880","21308","Grignon","grignon","grignon","21","27","0",,"21150","47.5585918408","4.40554023735"
"6881","21309","Griselles","griselles","griselles","21","27","0",,"21330","47.8761341376","4.36546770066"
"6882","21310","Grosbois-en-Montagne","grosbois-en-montagne","grosbois en montagne","21","27","0",,"21540","47.3192163677","4.59964141298"
"6883","21311","Grosbois-lès-Tichey","grosbois-les-tichey","grosbois les tichey","21","27","0",,"21250","47.0090636768","5.2366823459"
"6884","21312","Gurgy-la-Ville","gurgy-la-ville","gurgy la ville","21","27","0",,"21290","47.8522196324","4.93836423447"
"6885","21313","Gurgy-le-Château","gurgy-le-chateau","gurgy le chateau","21","27","0",,"21290","47.8288662718","4.92751897409"
"6886","21314","Hauteroche","hauteroche","hauteroche","21","27","0",,"21150","47.4884901774","4.57055360819"
"6887","21315","Hauteville-lès-Dijon","hauteville-les-dijon","hauteville les dijon","21","27","0",,"21121","47.3757754757","4.98131727526"
"6888","21316","Heuilley-sur-Saône","heuilley-sur-saone","heuilley sur saone","21","27","0",,"21270","47.3358079869","5.46489125739"
"6889","21317","Is-sur-Tille","is-sur-tille","is sur tille","21","27","0",,"21120","47.5263318229","5.10204412547"
"6890","21319","Izeure","izeure","izeure","21","27","0",,"21110","47.1662982943","5.12029891779"
"6891","21320","Izier","izier","izier","21","27","0",,"21110","47.2813484064","5.19627066906"
"6892","21321","Jailly-les-Moulins","jailly-les-moulins","jailly les moulins","21","27","0",,"21150","47.4626863743","4.59400738183"
"6893","21322","Jallanges","jallanges","jallanges","21","27","0",,"21250","46.9844079109","5.17269015437"
"6894","21323","Jancigny","jancigny","jancigny","21","27","0",,"21310","47.3834784994","5.42112913608"
